,HomeTeam,AwayTeam
0,Sheffield United,Newcastle
1,Burnley,Man United
2,Wolves,Everton
3,Man City,Brighton
4,Aston Villa,Tottenham
5,Arsenal,Crystal Palace
6,Fulham,Chelsea
7,Wolves,West Brom
8,Leeds,Brighton
9,West Ham,Burnley
10,Aston Villa,Everton
11,Leicester,Southampton
12,Sheffield United,Tottenham
13,Liverpool,Man United
14,Man City,Crystal Palace
15,Arsenal,Newcastle
16,West Ham,West Brom
17,Leicester,Chelsea
18,Leeds,Southampton
19,Fulham,Man United
20,Man City,Aston Villa
21,Liverpool,Burnley
22,Brighton,Fulham
23,Newcastle,Leeds
24,Southampton,Arsenal
25,West Brom,Man City
26,Burnley,Aston Villa
27,Chelsea,Wolves
28,Crystal Palace,West Ham
29,Everton,Leicester
30,Man United,Sheffield United
31,Tottenham,Liverpool
32,Everton,Newcastle
33,Chelsea,Burnley
34,Crystal Palace,Wolves
35,Man City,Sheffield United
36,West Brom,Fulham
37,Arsenal,Man United
38,Southampton,Aston Villa
39,Brighton,Tottenham
40,Leicester,Leeds
41,West Ham,Liverpool
42,Aston Villa,West Ham
43,Burnley,Man City
44,Fulham,Leicester
45,Leeds,Everton
46,Sheffield United,West Brom
47,Wolves,Arsenal
48,Man United,Southampton
49,Newcastle,Crystal Palace
50,Tottenham,Chelsea
51,Liverpool,Brighton
52,Aston Villa,Arsenal
53,Burnley,Brighton
54,Fulham,West Ham
55,Leeds,Crystal Palace
56,Liverpool,Man City
57,Man United,Everton
58,Newcastle,Southampton
59,Sheffield United,Chelsea
60,Tottenham,West Brom
61,Wolves,Leicester
62,Arsenal,Leeds
63,Brighton,Aston Villa
64,Chelsea,Newcastle
65,Crystal Palace,Burnley
66,Everton,Fulham
67,Leicester,Liverpool
68,Man City,Tottenham
69,Southampton,Wolves
70,West Brom,Man United
71,West Ham,Sheffield United
72,Arsenal,Man City
73,Aston Villa,Leicester
74,Brighton,Crystal Palace
75,Burnley,West Brom
76,Fulham,Sheffield United
77,Liverpool,Everton
78,Man United,Newcastle
79,Southampton,Chelsea
80,West Ham,Tottenham
81,Wolves,Leeds
82,Chelsea,Man United
83,Crystal Palace,Fulham
84,Everton,Southampton
85,Leeds,Aston Villa
86,Leicester,Arsenal
87,Man City,West Ham
88,Newcastle,Wolves
89,Sheffield United,Liverpool
90,Tottenham,Burnley
91,West Brom,Brighton
92,Aston Villa,Wolves
93,Brighton,Leicester
94,Burnley,Arsenal
95,Chelsea,Everton
96,Liverpool,Fulham
97,Man City,Man United
98,Sheffield United,Southampton
99,Tottenham,Crystal Palace
100,West Brom,Newcastle
101,West Ham,Leeds
102,Arsenal,Tottenham
103,Crystal Palace,West Brom
104,Everton,Burnley
105,Fulham,Man City
106,Leeds,Chelsea
107,Leicester,Sheffield United
108,Man United,West Ham
109,Newcastle,Aston Villa
110,Southampton,Brighton
111,Wolves,Liverpool
112,Brighton,Newcastle
113,Burnley,Leicester
114,Crystal Palace,Man United
115,Fulham,Leeds
116,Liverpool,Chelsea
117,Man City,Wolves
118,Sheffield United,Aston Villa
119,Tottenham,Southampton
120,West Brom,Everton
121,West Ham,Arsenal
122,Arsenal,Liverpool
123,Aston Villa,Fulham
124,Chelsea,West Brom
125,Everton,Crystal Palace
126,Leeds,Sheffield United
127,Leicester,Man City
128,Man United,Brighton
129,Newcastle,Tottenham
130,Southampton,Burnley
131,Wolves,West Ham
132,Brighton,Everton
133,Burnley,Newcastle
134,Crystal Palace,Chelsea
135,Fulham,Wolves
136,Liverpool,Aston Villa
137,Man City,Leeds
138,Sheffield United,Arsenal
139,Tottenham,Man United
140,West Brom,Southampton
141,West Ham,Leicester
142,Arsenal,Fulham
143,Aston Villa,Man City
144,Chelsea,Brighton
145,Everton,Tottenham
146,Leeds,Liverpool
147,Leicester,West Brom
148,Man United,Burnley
149,Newcastle,West Ham
150,Southampton,Crystal Palace
151,Wolves,Sheffield United
152,Arsenal,Everton
153,Aston Villa,West Brom
154,Fulham,Tottenham
155,Leeds,Man United
156,Leicester,Crystal Palace
157,Liverpool,Newcastle
158,Man City,Southampton
159,Sheffield United,Brighton
160,West Ham,Chelsea
161,Wolves,Burnley
162,Brighton,Leeds
163,Burnley,West Ham
164,Chelsea,Fulham
165,Crystal Palace,Man City
166,Everton,Aston Villa
167,Man United,Liverpool
168,Newcastle,Arsenal
169,Southampton,Leicester
170,Tottenham,Sheffield United
171,West Brom,Wolves
172,Arsenal,West Brom
173,Aston Villa,Man United
174,Fulham,Burnley
175,Leeds,Tottenham
176,Leicester,Newcastle
177,Liverpool,Southampton
178,Man City,Chelsea
179,Sheffield United,Crystal Palace
180,West Ham,Everton
181,Wolves,Brighton
182,Brighton,West Ham
183,Burnley,Leeds
184,Everton,Sheffield United
185,Crystal Palace,Aston Villa
186,Man United,Leicester
187,West Brom,Liverpool
188,Chelsea,Arsenal
189,Newcastle,Man City
190,Southampton,Fulham
191,Tottenham,Wolves
192,Brighton,Man City
193,Burnley,Liverpool
194,Chelsea,Leicester
195,Crystal Palace,Arsenal
196,Everton,Wolves
197,Man United,Fulham
198,Newcastle,Sheffield United
199,Southampton,Leeds
200,Tottenham,Aston Villa
201,West Brom,West Ham
202,Arsenal,Brighton
203,Aston Villa,Chelsea
204,Fulham,Newcastle
205,Leeds,West Brom
206,Leicester,Tottenham
207,Liverpool,Crystal Palace
208,Man City,Everton
209,Sheffield United,Burnley
210,West Ham,Southampton
211,Wolves,Man United
