,HomeTeam,AwayTeam
0,Benevento,Atalanta
1,Genoa,Bologna
2,Milan,Torino
3,Roma,Inter
4,Parma,Lazio
5,Udinese,Napoli
6,Verona,Crotone
7,Fiorentina,Cagliari
8,Juventus,Sassuolo
9,Spezia,Sampdoria
10,Lazio,Roma
11,Bologna,Verona
12,Torino,Spezia
13,Sampdoria,Udinese
14,Napoli,Fiorentina
15,Crotone,Benevento
16,Sassuolo,Parma
17,Atalanta,Genoa
18,Inter,Juventus
19,Cagliari,Milan
20,Udinese,Atalanta
21,Benevento,Torino
22,Roma,Spezia
23,Milan,Atalanta
24,Udinese,Inter
25,Fiorentina,Crotone
26,Juventus,Bologna
27,Genoa,Cagliari
28,Verona,Napoli
29,Lazio,Sassuolo
30,Parma,Sampdoria
31,Torino,Fiorentina
32,Bologna,Milan
33,Cagliari,Sassuolo
34,Crotone,Genoa
35,Sampdoria,Juventus
36,Inter,Benevento
37,Spezia,Udinese
38,Atalanta,Lazio
39,Napoli,Parma
40,Roma,Verona
41,Milan,Crotone
42,Fiorentina,Inter
43,Atalanta,Torino
44,Sassuolo,Spezia
45,Juventus,Roma
46,Genoa,Napoli
47,Benevento,Sampdoria
48,Udinese,Verona
49,Parma,Bologna
50,Lazio,Cagliari
51,Bologna,Benevento
52,Torino,Genoa
53,Napoli,Juventus
54,Spezia,Milan
55,Roma,Udinese
56,Cagliari,Atalanta
57,Sampdoria,Fiorentina
58,Crotone,Sassuolo
59,Inter,Lazio
60,Verona,Parma
61,Fiorentina,Spezia
62,Cagliari,Torino
63,Lazio,Sampdoria
64,Genoa,Verona
65,Sassuolo,Bologna
66,Parma,Udinese
67,Milan,Inter
68,Atalanta,Napoli
69,Benevento,Roma
70,Juventus,Crotone
71,Torino,Sassuolo
72,Spezia,Parma
73,Bologna,Lazio
74,Verona,Juventus
75,Sampdoria,Atalanta
76,Crotone,Cagliari
77,Inter,Genoa
78,Udinese,Fiorentina
79,Napoli,Benevento
80,Roma,Milan
81,Juventus,Spezia
82,Lazio,Torino
83,Milan,Udinese
84,Atalanta,Crotone
85,Benevento,Verona
86,Cagliari,Bologna
87,Fiorentina,Roma
88,Genoa,Sampdoria
89,Sassuolo,Napoli
90,Parma,Inter
91,Spezia,Benevento
92,Udinese,Sassuolo
93,Juventus,Lazio
94,Roma,Genoa
95,Crotone,Torino
96,Fiorentina,Parma
97,Verona,Milan
98,Sampdoria,Cagliari
99,Napoli,Bologna
100,Inter,Atalanta
101,Lazio,Crotone
102,Atalanta,Spezia
103,Sassuolo,Verona
104,Benevento,Fiorentina
105,Genoa,Udinese
106,Bologna,Sampdoria
107,Parma,Roma
108,Torino,Inter
109,Cagliari,Juventus
110,Milan,Napoli
111,Parma,Genoa
112,Crotone,Bologna
113,Spezia,Cagliari
114,Inter,Sassuolo
115,Verona,Atalanta
116,Juventus,Benevento
117,Sampdoria,Torino
118,Udinese,Lazio
119,Fiorentina,Milan
120,Roma,Napoli
121,Milan,Sampdoria
122,Atalanta,Udinese
123,Benevento,Parma
124,Cagliari,Verona
125,Genoa,Fiorentina
126,Lazio,Spezia
127,Napoli,Crotone
128,Sassuolo,Roma
129,Torino,Juventus
130,Bologna,Inter
131,Benevento,Sassuolo
132,Fiorentina,Atalanta
133,Inter,Cagliari
134,Juventus,Genoa
135,Parma,Milan
136,Roma,Bologna
137,Sampdoria,Napoli
138,Spezia,Crotone
139,Udinese,Torino
140,Verona,Lazio
141,Milan,Genoa
142,Atalanta,Juventus
143,Bologna,Spezia
144,Cagliari,Parma
145,Crotone,Udinese
146,Lazio,Benevento
147,Sampdoria,Verona
148,Sassuolo,Fiorentina
149,Torino,Roma
150,Napoli,Inter
151,Milan,Sassuolo
152,Bologna,Torino
153,Crotone,Sampdoria
154,Genoa,Benevento
155,Juventus,Parma
156,Napoli,Lazio
157,Roma,Atalanta
158,Spezia,Inter
159,Udinese,Cagliari
160,Verona,Fiorentina
161,Atalanta,Bologna
162,Benevento,Udinese
163,Cagliari,Roma
164,Fiorentina,Juventus
165,Genoa,Spezia
166,Inter,Verona
167,Lazio,Milan
168,Parma,Crotone
169,Sassuolo,Sampdoria
170,Torino,Napoli
171,Milan,Benevento
172,Bologna,Fiorentina
173,Crotone,Inter
174,Lazio,Genoa
175,Napoli,Cagliari
176,Sampdoria,Roma
177,Sassuolo,Atalanta
178,Torino,Parma
179,Udinese,Juventus
180,Verona,Spezia
181,Benevento,Cagliari
182,Fiorentina,Lazio
183,Genoa,Sassuolo
184,Inter,Sampdoria
185,Parma,Atalanta
186,Roma,Crotone
187,Spezia,Napoli
188,Udinese,Bologna
189,Verona,Torino
190,Juventus,Milan
191,Inter,Roma
192,Atalanta,Benevento
193,Bologna,Genoa
194,Cagliari,Fiorentina
195,Crotone,Verona
196,Lazio,Parma
197,Napoli,Udinese
198,Sampdoria,Spezia
199,Sassuolo,Juventus
200,Torino,Milan
201,Milan,Cagliari
202,Benevento,Crotone
203,Fiorentina,Napoli
204,Genoa,Atalanta
205,Parma,Sassuolo
206,Roma,Lazio
207,Spezia,Torino
208,Udinese,Sampdoria
209,Verona,Bologna
210,Juventus,Inter
211,Atalanta,Milan
212,Bologna,Juventus
213,Cagliari,Genoa
214,Crotone,Fiorentina
215,Inter,Udinese
216,Napoli,Verona
217,Sampdoria,Parma
218,Sassuolo,Lazio
219,Spezia,Roma
220,Torino,Benevento
