Rank,PI,W,D,L,GF,GA,GD,Points,Team
1,14,10,3,1,44,21,23,33,Bayern Munich
2,14,9,4,1,25,9,16,31,RB Leipzig
3,14,8,4,2,29,14,15,28,Leverkusen
4,14,8,1,5,28,18,10,25,Dortmund
5,14,6,6,2,29,18,11,24,Union Berlin
6,14,6,6,2,20,15,5,24,Wolfsburg
7,14,5,6,3,25,22,3,21,M'gladbach
8,14,4,8,2,23,23,0,20,Ein Frankfurt
9,14,5,5,4,23,24,-1,20,Freiburg
10,14,5,4,5,16,19,-3,19,Augsburg
11,14,4,6,4,26,21,5,18,Stuttgart
12,14,4,4,6,23,24,-1,16,Hertha
13,14,4,3,7,22,26,-4,15,Hoffenheim
14,14,3,5,6,16,23,-7,14,Werder Bremen
15,14,2,5,7,13,22,-9,11,FC Koln
16,14,3,1,10,9,24,-15,10,Bielefeld
17,14,1,3,10,14,31,-17,6,Mainz
18,14,0,4,10,8,39,-31,4,Schalke 04
