Rank,PI,W,D,L,GF,GA,GD,Points,Team
1,15,12,2,1,29,6,23,38,Ath Madrid
2,17,11,3,3,30,15,15,36,Real Madrid
3,17,9,4,4,33,17,16,31,Barcelona
4,18,8,6,4,27,13,14,30,Sociedad
5,17,7,8,2,22,17,5,29,Villarreal
6,15,8,3,4,18,11,7,27,Sevilla
7,16,7,3,6,19,25,-6,24,Granada
8,17,6,5,6,22,24,-2,23,Celta
9,18,6,3,9,21,22,-1,21,Ath Bilbao
10,17,5,5,7,12,21,-9,20,Cadiz
11,17,6,2,9,20,31,-11,20,Betis
12,17,4,7,6,14,16,-2,19,Eibar
13,16,4,6,6,21,23,-2,18,Levante
14,17,4,6,7,15,20,-5,18,Alaves
15,17,4,6,7,16,24,-8,18,Valladolid
16,16,4,5,7,12,17,-5,17,Getafe
17,17,3,7,7,23,25,-2,16,Valencia
18,15,3,7,5,13,18,-5,16,Elche
19,16,3,5,8,15,25,-10,14,Osasuna
20,17,1,9,7,14,26,-12,12,Huesca
