Rank,PI,W,D,L,GF,GA,GD,Points,Team
1,17,9,6,2,37,21,16,33,Liverpool
2,16,10,3,3,33,24,9,33,Man United
3,17,10,2,5,31,21,10,32,Leicester
4,16,8,5,3,29,15,14,29,Tottenham
5,15,8,5,2,24,13,11,29,Man City
6,17,8,5,4,26,19,7,29,Southampton
7,16,9,2,5,26,20,6,29,Everton
8,15,8,2,5,29,16,13,26,Aston Villa
9,17,7,5,5,32,21,11,26,Chelsea
10,17,7,5,5,24,21,3,26,West Ham
11,17,7,2,8,20,19,1,23,Arsenal
12,17,7,2,8,30,33,-3,23,Leeds
13,17,6,4,7,18,24,-6,22,Wolves
14,17,6,4,7,22,29,-7,22,Crystal Palace
15,16,5,4,7,18,26,-8,19,Newcastle
16,15,4,4,7,9,20,-11,16,Burnley
17,17,2,8,7,21,28,-7,14,Brighton
18,15,2,5,8,13,23,-10,11,Fulham
19,17,1,5,11,11,39,-28,8,West Brom
20,17,0,2,15,8,29,-21,2,Sheffield United
