Rank,PI,W,D,L,GF,GA,GD,Points,Team
1,16,11,4,1,35,19,16,37,Milan
2,16,11,3,2,41,21,20,36,Inter
3,16,10,3,3,35,24,11,33,Roma
4,15,8,6,1,32,15,17,30,Juventus
5,16,8,5,3,29,23,6,29,Sassuolo
6,15,9,1,5,32,15,17,28,Napoli
7,15,8,4,3,36,21,15,28,Atalanta
8,16,7,4,5,25,25,0,25,Lazio
9,16,6,6,4,20,15,5,24,Verona
10,16,6,3,7,19,26,-7,21,Benevento
11,16,6,2,8,25,26,-1,20,Sampdoria
12,16,4,5,7,23,29,-6,17,Bologna
13,15,4,4,7,17,23,-6,16,Udinese
14,16,3,6,7,17,23,-6,15,Fiorentina
15,16,3,5,8,23,33,-10,14,Cagliari
16,16,3,5,8,21,31,-10,14,Spezia
17,16,2,6,8,26,33,-7,12,Torino
18,16,2,6,8,13,31,-18,12,Parma
19,16,2,5,9,16,30,-14,11,Genoa
20,16,2,3,11,16,38,-22,9,Crotone
